Title,Ingredients,Steps
Semur Daging Sapi,"1 / 2 kg daging sapi -- 1 biji bawang bombay -- 2 siung bawang putih 5 -- 5 siung bawang merah -- 1 bungkus ladaku -- 1 bungkus royco sapi -- 3 lembar daun jeruk -- 1 bunga lawang -- 2 biji jeruk nipis --  kecap manis ,  gula pasir -- Air -- ","Potong2 daging sesuai selera ,  cuci dan lumuri dengan air jeruk ,  aduk2 dan cuci lagi -- Rebus daging sampe setengah mateng -- Sambil nungu daging direbus ,  bawang putih digeprek dan diiris2 ,  bawang merah jg bawang bombay -- Tumis bawang yg sudah diiris masukkan daging ,  daun jeruk ,  ladaku ,  bunga lawang dan pala ,  aduk2 -- Tambahkan air sampe daging terendam ,  masukkan royco ,  kecap dan gula pasir -- Aduk2 dan koreksi rasa ,  biarkan sampai airnya berkurang sedikit -- Hidangkan dengan kerupuk udang"
Tongseng daging sapi,500 gram Daging sapi -- Santan  ( boleh pakai kara 1 bungkus /  kelapa parut 1 / 2 buah )  -- Bawang merah 12 siung  ( 6 siung untuk bawang goreng )  -- 8-10 siung Bawang putih -- 1 / 4 Kubis -- 2 buah Tomat -- 5 pcs Daun bawang -- 6 cm Kunyit -- 5 cm Jahe -- 6 cm Lengkuas -- 3 lembar Daun salam -- 3 lembar Daun jeruk -- 5 pcs Kemiri -- 1 sdt Ketumbar -- 1 sdm Kecap -- 2 pcs Cabai merah -- 10 pcs Cabai rawit --  Garam --  Penyedap rasa -- 1 bungkus Merica bubuk ladaku --,"Cuci daging sapi dan potong kecil-kecil sesuai selera. -- Masukkan daging sapi dalam air mendidih dan masak hingga empuk. -- Lembutkan baput , bamer , kunyit , kemiri , ketumbar , dan cabai merah. -- Tumis bumbu yang sudah dilembutkan tadi dan daun salam ,  daun jeruk ,  lengkuas , jahe ,  cabai rawit utuh , ladaku. Tumis hingga baunya harum. -- Potong memanjang tomatnya ,  kubis dan daun bawang potong sesuai selera. -- Masukkan bumbu tersebut yang sudah ditumis tadi kedalam rebusan daging yang sudah empuk. Lalu masukkan kubis , daun bawang dan tomat serta santan. -- Masukkan juga garam , kecap dan penyedap rasa. -- Cek rasa. Kalau sudah mendidih dan rasa sudah pas ,  TONGSENG DAGING SAPI SIAP DISAJIKAN. Taburi bawang goreng saat penyajiannya -- "
Se'i Sapi Khas Kupang,"1 daging Se'i Sapi -- 2 siung Bawang merah -- 4 siung Bawang putih -- 1 / 4 Bawang Bombay -- 13 buah cabai rawit -- 2 buah cabai merah keriting -- 1 ikat kecil kemangi ,  siangi -- 1 / 2 buah tomat --  lada bubuk --  saos tiram --  kecap manis --  minyak goreng --  garam --  gula --  air -- ","Iris daging se'i Sapi nya tipis-tipis atau sesuai selera -- Iris tipis bawang merah ,  bawang putih ,  bawang Bombay ,  cabai ,  dan tomat. -- Tumis bawang merah ,  bawang putih ,  dan bawang Bombay ,  sampai harum. -- Masukkan cabai ,  setelah matang masukkan tomat -- Bisa beri sedikit air ,  biarkan sampai bumbu matang dan air mendidih dan menyusut. -- Masukkan daging Se'i Sapi nya ,  tambahkan lada bubuk ,  gula ,  garam ,  saos tiram ,  dan kecap manis. Aduk rata -- Masak Se'i sebentar saja +- 5 menitan agar daging tidak keras. masukkan daun kemangi. Aduk rata -- Tes rasa -- Siap di sajikan -- "
Tumis Daging Sapi,"500 gr daging sapi -- 1 buah bawang bombay -- 1 siung bawang putih -- 1 ruas jahe -- 5 buah cabe ijo besar -- 5 buah cabe ijo keriting -- 1 sdm saus tiram -- 1 / 2 sdt garam ,  gula pasir ,  merica bubuk -- Saus marinasi: -- 2 sdm kecap manis -- 1 sdm kecap asin -- 1 sdm minyak wijen -- ","Rendam daging dalam kecap manis ,  kecap asin dan minyak wijen. -- Diamkan dalam kulkas minimal 1jam ,  lebih lama lebih enak. -- Iris serong cabe. Geprek jahe. Cincang halus bawang putih. Potong besar bawang bombay. -- Panaskan minyak goreng tumis bawang putih dan bawang bombay sampai harum kemudian masukkan jahe dan cabe ijo. -- Kemudian masukkan daging yg sudah dimarinasi beserta seluruh sausnya. Aduk rata. -- Tambahkan saus tiram. Aduk rata. -- Lalu bubuhkan garam ,  gula pasir dan merica bubuk. -- Beri secukupnya air supaya daging matang sempurna dan empuk serta tidak gosong. -- Masak sampai kuah berkurang sesuai selera. Koreksi rasa. -- Tumis daging sapi siap dihidangkan"
Bola-Bola Kornet Sapi,1 kaleng kornet sapi -- 1 / 2 sachet tepung bakwan -- Minyak --,Campur satu kaleng kornet dengan tepung dan aduk rata -- Bentuk bola-bola  -- goreng sampai berubah warna --  siap disajikan
Asem asem daging sapi,"1 / 4 kg daging sapi -- 100 gram buncis -- 2 buah wortel ,  kupas lalu potong potong -- 1 buah tomat -- Asam jawa  -- 4 siung bawang merah  -- 4 siung bawang putih  -- 1 / 2 bawang bombay  -- 6 buah cabai hijau besar  -- 4 buah cabai merah keriting  -- 1 lembar Daun salam -- Laos geprek -- Kecap manis -- Garam -- Gula -- Penyedap rasa -- ","Cuci dan potong kecil daging sapi -- Rebus daging sampai empuk -- Sisakan air rebusan untuk kuah -- Tumis bawang merah bawang putih bawang bombay hingga harum dan layu -- Masukkan cabai ,  daun salam dan laos -- Setelah harum masukkan buncis dan wortel aduk2 lalu tmbhkan kecap manis -- Masukkan tumisan ke dalam air rebusan daging -- Tambahkan asam jawa -- Tambahkan garam gula dan penyedap rasa lalu cek rasa -- Masak sampai mendidih dan sayuran empuk -- Masukkan tomat -- Asem2 daging siap disajikan"
Steak sapi parud keju,Bagian has sapi 2 potong ukuran ketebalan 10 inchi -- Bumbu rendaman sapi --  Ketumbar --  Lada hitam -- 3 siung Bawang putih --  Garam  /  penyedap  /  kaldu jamur --  Air -- Delmonte saus tomat -- Delmonte saus cabe -- Bawang putih iris 1 siung -- Bawang Bombay iris  -- Tepung maizena -- Keju parutan -- Brokoli -- Jagung -- Wortel --,"Sayuran salad d rebus secukupnya jangan terlalu matang ,  pisahkan dan tiriskan -- Bawang putih ,  ketumbar ,  lada hitam dan garam ,  penyedap dihaluskan lalu campu air sedikit  --  Masukkan daging sapi ke rendaman bumbu nya tersebut. -- Masukan ke kulkas sebelum di bakar -- Buatlah sausnya terlebih dahulu ,  goreng bawang putih dan bawang Bombay sampai wangi lalu delmonte saus cabe dan tomat beri air sedikit dan penyedap dan bila ingin kental sesuai selera beri tepung maizena yang sudah diberi air sedikit dan campurkan kedalam Katel -- Bakar daging sampai warna kecoklatan dan tidak keluar darah lagi -- Sajikan daging dilumuri saus dan salad di pinggirnya ,  juga diparuti keju sesuai selera -- "
Lumpia isi daging sapi & kol,1 / 2 ikat kol iris halus -- 200 gr daging sapi giling -- 1 batang daun bawang iris halus -- 2 sdm minyak goreng -- 5 sdm air -- Kulit lumpia -- Putih telor -- Merica -- Garam -- 2 bawang merah -- 2 bawang putih -- 1 liter minyak goreng  --,"Tumis bumbu cincang dengan 2 sdm minyak ,  masukan daging sapi aduk rata sampai daging berubah warna -- Masukan kol ,  daun bawang ,  air ,  garam dan meric -- Masak sampai air surut dan kol matang. -- Angkat dari kompor ,  diamkan di suhu ruangan sampai dingin. -- Setelah dingin ,  bungkus lumpia dengan isian ,  gulung. Rekatkan ujung dengan putih telor. Lakukan sampai isian habis. -- Panaskan minyak goreng ,  goreng lumpia sampai kecoklatan -- Angkat dan sajikan"
Oseng Tetelan Sapi,1 / 4 kg tetelan sapi -- 500 ml air -- 2 lbr daun salam -- Garam --  Gula -- Minyak goreng -- 100 g cabe merah keriting -- 30 g cabe rawit merah  -- 50 gr bawang merah --,"Rebus tetelan sapi bersama daun salam hingga empuk. Angkat ,  potong  1 cm ,  sisihkan. -- Rebus atau kukus bahan bumbu halus ,  lalu haluskan kasar. -- Tumis bumbu yang telah dihaluskan kasar dengan minyak goreng secukupnya -- Beri garam dan gula secukupnya. -- Masukkan tetelan yang telah direbus ,  aduk rata. -- Tambahkan 100 ml air rebusan tetelan -- Koreksi rasa. Jika air sudah surut ,  matikan kompor. -- Siap disajikan dengan nasi hangat."
Tongseng sapi,200 gram daging sapi -- 65 ml santan  ( kara )  -- 50 gram kubis -- 1 buah tomat -- 5 bawang merah -- 2 bawang putih -- 3 buah kemiri -- 5 buah cabe rawit -- gula merah --  --,"Cuci bersih daging sapi yang sudah di siapkan -- Haluskan bawang merah ,  bawang putih ,  jahe ,  kunyit dan kemiri sisihkan -- Panaskan wajan , beri sedikit minyak lalu tumis bumbu halus hingga harum , lalu masukkan daging sapi tumis hingga berubah warna , masukkan santan dan tuang air secukupnya tunggu hingga mendidih -- Bumbui dengan garam , gula merah , merica bubuk , kecap tes rasa , jika sudah pas rasanya tunggu hingga mendidih tambahkan tomat iris , kubis dan cabe rawit iris , lalu tunggu air hingga sedikit menyusut , jangan terlampau habis airnya , jika sudah angkat sajikan"
Soto Daging Sapi Lobak& Wortel,"250 gr Daging Sapi -- 2 Buah Wortel kupas ,  iris bulat tipis -- 2 Buah lobak kupas ,  iris bulat tipis -- 1 Batang sereh  -- 1 Batang Daun Bawang iris halus -- 1 Batang Daun Seledri iris halus -- Garam  -- Gula Pasir  -- 1500 ml Air -- 1 sdt Bawang Goreng -- 2 sdm Minyak Sayur -- 5 siung Bawang Merah -- 3 siung Bawang Putih -- 1 / 2 sdt Merica butiran -- ","Didihkan Air hingga mendidih ,  masukan Daging yang sudah dicuci , rebus sampai empuk ,  angkat tiriskan potong kota'-kotak -- .Air rebusan Daging disaring ,  untuk selanjutnya dimasak lagi -- separuh air rebusan untuk merebus lobak ,  agar aroma lobak tidak pekat -- Panaskan minyak ,  tumis bumbu halus sampai harum , didihkan lagi sisa air rebusan daging , masukan sereh ,  wortel , daging sapi , lobak. -- Tambahkan garam dan gula pasir , daun bawang ,  seledri. -- tes rasa -- Angkat ,  sajikan dengan taburan bawang goreng dan pelengkap lainnya"
Tumis buncis cah daging sapi,250 gr buncis -- 100 gr daging sapi giling -- 3 siung bawang putih -- 50 ml air -- 4 sdm minyak -- 2 sdm saus tiram -- gula -- lada bubuk -- garam --,"Tumis bawang putih hingga harum ,  masukan daging giling lalu tumis hingga matang -- Masukan buncis ,  air ,  saus tiram ,  gula ,  garam dan lada-masak - menit -- siap dihidangkan"
Kornet Sapi,1 / 2 kaleng Kornet Sapi -- 3 sdm Tepung Terigu -- 1 buah Telor Ayam -- Lada Bubuk -- Garam -- Masako --,"Campur terigu dan telur dahulu ,  aduk hingga rata. jangan ada gumpalan trigu. -- Lalu masukann kornet setengah kaleng yang ukuran sedang ,  sedikit masako ,  garam ,  dan lada bubuk aduk hingga rata. -- Siapkan minyak yang sudah dipanaskan ,  lalu goreng. tunggu hingga kecokaltan dan tiriskan. -- Siap dimakan untuk lauk -- "
Bakso Sapi,"500 gr daging sapi tanpa lemak -- 150 gr es batu / 7bh ice cubes -- 1 btr putih telur -- 100 gr tapioka -- 1 sdt nutrijell / agar2 plain -- 6 buah bawang putih goreng ,  haluskan -- 4 buah bawang merah goreng ,  haluskan -- 1 sdt lada bubuk -- 1 sdm garam -- 2 sdt gula pasir -- 1 sdm kaldu bubuk -- ","Giling daging batu sehalus mungkin. Tambahkan bumbu-giling ,  putih telur-giling hingga semua bahan tercampur rata. -- Masukkan ke dlm freezer + 30menit. -- Keluarkan dari freezer lalu masukkan tapioka sedikit demi sedikit sambil diaduk rata. -- Masukkan adonan ke freezer 5menit.  -- Kemudian didihkan air di panci besar jangan smpai bergejolak lalu kecilkan apinya ,  cetak bakso bulat-bulat hingga mengapung. Angkat -- Bila perlu masukkan bakso ke dalam wadah yang berisi air es untuk menghentikan proses masak. agar tetap kenyal dan tidak lembek dan dijadikan Frozen Food:"
Lidah Sapi Cabe Hijau,1 / 3 Lidah Sapi  ( iris tipis )  -- 1 buah Bawang Bombay ukuran kecil -- 3 siung Bawang Merah -- 2 siung Bawang Putih -- 2 buah Cabe Hijau Besar -- 2 buah Cabe Hijau Keriting -- Garam -- Kecap -- Saus Tiram --,"Rebus lidah hingga empuk ,  iris tipis -- Tumis semua bumbu hingga harum. Masukkan lidah -- Tambahkan garam ,  kecap & saus tiram. Koreksi rasa -- "
Empal serundeng daging sapi,"1 kilo daging sapi -- 3 lembar daun salam -- 3 lembar daun jeruk -- 1 sdm asam jawa ,  rendam pakai 50ml air -- 1 / 2 butir kelapa muda parut -- 1 ruas jahe digeprek -- 1 liter air untuk merebus daging -- Bumbu Halus -- 5 buah cabe keriting -- 10 buah bawang putih -- 1 sdt ketumbar -- 1 / 2 sdt jinten -- 3 ruas lengkuas -- 1 ruas jahe -- 2 batang serai -- 1 sdm garam -- 2 sdm gula merah","Rebus daging dengan air ,  daun salam ,  jahe geprek sampai empuk -- Setelah empuk ,  potong2 sesuai serat lalu geprek sampai tipis. -- Campur bumbu halus ,  daging ,  daun jeruk dan air asam jawa. Remas2 dan diamkan selama 30 menit -- Pindahkan ke dalam wajan ,  tuang 300ml air kaldu bekas merebus daging tadi. Masak dengan api kecil sambil diaduk terus. -- Setelah air menyusut ,  masukkan kelapa muda parut. Aduk terus sampai benar2 kering. -- Empal serundeng siap untuk disantap -- "
Rawon daging sapi,1 kg daging sapi campur tetelan sedikit -- 2 liter air -- 8 keluwek -- 10 siung bawang merah -- 4 siung bawang putih -- 4 buah kemiri -- 1 sdm ketumbar -- 1 ruas jahe -- 1 ruas kunyit -- 1 ruas lengkuas -- 1 sdt jinten -- 1 sdm lada halus --  Garam --  gula -- 5 lembar daun jeruk -- 2 batang sereh -- 3 lembar daun salam -- kecambah -- Kerupuk -- Sambal --,"Rebus daging dengan api kecil sampai empuk + 1 jam ,  angkat tiriskan setelah dingin --  potong2 sesuai selera airnya ,  simpan untuk campuran rawon -- Sangrai dua bawang ,  ketumbar ,  jinten ,  kunyit ,  kemiri sampai harum -- Pecahkan keluwek ambil isinya lalu rendam air panas -- Haluskan semua bahan bumbu lalu masukkan keluwek ,  haluskan sampai merata -- Tumis bumbu halus sampai harum ,  masukkan salam ,  sereh aduk rata --  masukkan daging dan aduk aduk sampai bumbu meresap -- Masukkan air kaldu rebusan daging ,  tambahkan air biasa sampai + 2ltr biarkan matang dan meresap -- Tambahkan garam gula dan penyedap sampai rasa nya pas -- Sajikan dan disantap -- "
Rendang Daging Sapi Kentang,"750 gr daging sapi ,  potong potong -- 1000 ml santan encer -- 1000 ml santan kental -- 5 lmbr daun jeruk -- 1 btg sereh ,  memarkan -- 4 buah kentang ,  kupas ,  potong2 -- Bumbu Halus -- 1 ons cabe merah -- 2 cm kunyit -- 12 siung bawang merah -- 5 siung bawang putih -- 2 cm lengkuas -- Secukupnya garam dan gula -- ","Rebus santan encer ,  daun jeruk ,  sereh dan bumbu halus ,  masak hingga mendidih -- Masukkan daging yang sudah di potong potong ,  masukkan garam dan gula secukupnya ,  masak hingga santan kental -- Masukkan santan kental ,  setelah santan udah mulai berkurang ,  masukkan kentang ,  masak hingga rendang nya agak mengering dan berminyak ,  angkat dan sajikan. -- "
Dendeng sapi bumbu kecap,1 bungkus dendeng sapi -- 3 buah bawang merah -- 2 buah bawang putih -- secukupnya Garam -- 1 sendok kecil gula pasir -- secukupnya Lada bubuk -- secukupnya merica bubuk -- kecap manis -- bumbu royco  ( ayam )  --  air matang -- minyak goreng --,"Potong dendeng sesuai selera -- Lalu goreng setengah matang dan tiriskan -- Potong halus bawang merah dan bawang putih -- Siapkan wajan dan tuangkan sedikit minyak -- Tumis bawang merah dan bawang putih hingga wangi -- Lalu tambahkan sedikit garam , rocyo ayam , lada bubuk -- Aduk lalu masukkan dendeng yang sudah ditiriskan  -- Lalu aduk2 dan tambahkan sedikit merica bubuk -- Lalu masukkan kecap manis dan sedikit air matang -- Lalu tambahkan sedikit gula pasir -- Lalu tes rasa dan siap disajikan dalam keadaan hangat -- "
Soto Sapi Kuah Bening,"1 / 2 kg daging tetelan sapi -- 1 buah lobak ukuran besar ,  cuci bersih dan iris seuai selera -- 1 batang serai ,  keprek -- Seujung kelingking jahe ,  keprek -- Secukupnya selederi ,  cincang -- 2 biji kapulaga -- 3 biji cengkeh -- Secukupnya kayu manis -- Secukupnya bawang pre ,  iris besar atau sesuai selera -- Air ( sesuai kebutuhan yaa )  -- Bumbu halus : -- 2 siung bawang putih -- 1 siung bawang merah -- Secukupnya merica -- Secukupnya ketumbar -- Secukupnya pala -- Secukupnya jintan -- Sedikit minyak untuk menumis -- Secukupnya Garam -- Secukupnya Kaldu bubuk rasa sapi -- ",Cuci bersih daging lalu rebus daging ( Buang air rebusan pertama agar kuah tidak keruh )  Masukkan lagi air dan rebus kembali daging hingga empuk dan berkaldu -- Keluarkan daging dan iris sesuai selera --  Masukkan kembali ke air rebusan -- Tambahkan lagi air nya jika di rasa kurang -- Rebus lagi daging... Dan masukkan serai jahe kapulaga cengkeh dan kayu manis -- Sambil menunggu aroma keluar dari rebusan daging.. Siapkan wajan panaskan sedikit minyak lalu tumis bumbu halus... Setelah wangi masukkan bumbu halus dalam rebusan daging.. -- Masukkan lobak dalam rebusan daging tunggu hingga lobak empuk -- Setelah lobak empuk masukkan daun pre dan daun seledri.. -- Masukkan garam dan kaldu bubuk... Test rasa... -- Dan siap sajikan dengan sambal atau pelengkap lainnya
Pepes Tahu Daging Sapi,"2 buah tahu putih ukuran besar ,  rendam air panas 1 / 2 jam -- 100 gram daging sapi cincang -- 6 siung bawang putih -- 7 butir bawang merah -- 3 buah cabe merah besar -- 10 buah cabe rawit merah -- 1 ruas kecil kencur -- secukupnya Garam -- secukupnya Gula -- Penyedap rasa -- Daun pisang untuk membungkus -- Minyak goreng untuk menumis daging -- ","Tumis daging cincang hingga matang. Sisihkan. -- Haluskan bawang putih ,  bawang merah ,  cabe ,  dan kencur. Beri garam dan gula. -- Haluskan tahu putih. Campur dengan tumisan daging dan bumbu halus. Beri penyedap rasa. Jangan lupa tes rasa. -- Taruh 1 sdm adonan tahu ke daun pisang. Gulung lalu semat dengan tusuk gigi. -- Kukus pepesan hingga matang selama 30 menit. -- Siap di sajikan"
Tumis Jamur bakso sapi.,10 bakso sapi potong tipis2. -- 200 grm jamur kancing. -- 3 siung bawang putih -- 5 siung bawang merah -- 10 cabe rawit -- Daun bawang  -- 1 buah tomat --  Gula --  garam -- 3 sdm kecap manis,Cuci bersih semua bumbu..iris-iris... -- Cuci bersih jamur..iris-iris..bakso sapi iris tipis -- Nyalakan api sedang..tumis bumbu sampai harum... -- Masukkan bakso sapi iris aduk2..kmudian masukkan jamur..aduk rata..beri gula garam..sdikit air..tunggu sampai matang..beri kecap manis..saus tiram.. -- Stelah matang angkat sajikan... --
Oseng Koyor Sapi,"1 kg daging koyor sapi -- 5 siung bawang merah ,  iris -- 2 siung bawang putih ,  iris -- 3 buah cabe rawit merah-2 buah cabe merah keriting ,  iris -- 1 / 2 buah tomat ,  belah jadi 2 -- 2 lembar daun salam -- 2 lembar daun jeruk -- 1 buah sereh ,  geprek -- 1 ruas jahe ,  geprek -- 1 ruas lengkuas ,  geprek -- 1 sdm gula merah cair -- 1 sdt merica bubuk -- 1 sdm kecap manis -- 2 sdm minyak sayur --  gula pasir --  garam --  penyedap rasa )  -- 150 air kaldu -- 1 liter air","Rebusan daging  ( I ) : Potong daging koyor kecil-kecil. Siapkan air dingin ke dalam panci rebusan. Masukkan irisan daging. Masak sampai air mendidih dan kotoran terangkat. Buang airnya tiriskan daging -- Rebusan daging  ( II ) : Siapkan panci yang sudah terisi 1Liter air dingin. Masukkan daging beserta sejumput garam dan merica. Rebus daging sampai empuk. -- Panaskan minyak ke dalam wajan dan masukkan irisan bawang merah dan bawang putih. Tumis hingga setengah matang -- Masukkan irisan cabe ,  salam ,  daun jeruk ,  jahe geprek ,  sereh geprek ,  laos geprek ,  dan tomat. Masak hingga bumbu harum -- Masukkan daging koyor sapi yang telah direbus. Masak daging hingga bumbu tercampur. Tambahkan gula ,  garam ,  merica ,  penyedap rasa ,  kecapa manis kemudian masak kembali -- Masukkan air kaldu. Masak sampai matang dan air menyusut. -- Koreksi rasa -- Oseng daging koyor siap dihidangkan. Sajikan dengan taburan bawang goreng untuk menambah kenikmatan -- "
